Title,Location,Beds,Baths,Area (Marla),Price (PKR),Price Per Marla
NORA Residences 2 Bedroom Flat For Sale | 1040 Sq Feet.,"DHA Phase 3 - Block E, DHA Defence Phase 3",2.0,2.0,4.6,10500000.0,2282608.6956521743
Avail Yourself A Great On Excellent Location 10 Marla House In D-12,"D-12, Islamabad",6.0,6.0,10.0,118000000.0,11800000.0
A Spacious On Excellent Location 14 Marla House In D-12,"D-12, Islamabad",7.0,6.0,14.0,150000000.0,10714285.714285715
On Excellent Location 14 Marla House For sale Available In D-12,"D-12, Islamabad",7.0,6.0,14.0,135000000.0,9642857.142857144
On Excellent Location House Available For sale In D-12,"D-12, Islamabad",8.0,6.0,20.0,285000000.0,14250000.0
Beautiful View Corner Double Floor Apartment For Sale At Very Reasonable Price In Centaurus Islamabad.,"The Centaurus, F-8",4.0,4.0,20.0,185000000.0,9250000.0
F9 Park Facing 3 Bedrooms Apartment On Investor Rate Available For Sale In Sukh Chyn F10.,"Sukh Chayn Residence, F-10",3.0,3.0,8.7,84500000.0,9712643.67816092
Brand New Double Storey Spanish House For Sale In Bani Gala Near To Market Durrani Street,"Bani Gala, Islamabad",4.0,6.0,7.0,29000000.0,4142857.1428571427
2 Bed 900 Sq/Ft Flat Available For Sale In Capital Residencia E11 Main Margalla Road,"Capital Residencia, Margalla Hills-2",2.0,2.0,4.0,14500000.0,3625000.0
F-10 Silver Oaks Apartment,"Silver Oaks Apartments, F-10",3.0,3.0,7.8,65000000.0,8333333.333333334
Luxury 2 Bed Apartment Is Available For Sale In Rs. 17000000,"Madina Tower, E-11",2.0,3.0,6.2,17000000.0,2741935.4838709678
Book Flat Today In Defence Residency,"Defence Residency, DHA Defence Phase 2",2.0,2.0,5.1,11500000.0,2254901.9607843137
35/70 House for sale G13/1 islamabad,"G-13/1, G-13",6.0,6.0,10.0,72500000.0,7250000.0
Good Location Brand New House For Sale In Mumtaz City Islamabad,"Mumtaz City, Islamabad",5.0,6.0,5.0,23000000.0,4600000.0
"LUXURY VILLA FOR SALE IN  AIRPORT ENCLAVE  , (INSTALLMENTS ALSO POSSIBLE)","Airport Enclave, Islamabad",3.0,4.0,5.0,22000000.0,4400000.0
2 Bed Apartment For Sale,"G-15, Islamabad",2.0,2.0,2.7,6300000.0,2333333.333333333
2 Bed Apartment For Sale,"G-15/4, G-15",2.0,2.0,7.3,11500000.0,1575342.4657534247
PARKVIEW LUXURY | 1-BED APARTMENT | PARKVIEW CITY DOWNTOWN BLOCK (INSTALLMENT AVAILABLE),"Park View City - Downtown Block, Park View City",1.0,1.0,2.7,14600000.0,5407407.407407407
2 Bedroom Flat For Sale In Lignum Tower,"Lignum Tower, DHA Defence Phase 2",2.0,2.0,6.3,15000000.0,2380952.380952381
2 Bedroom Apartment For Sale In Defence Executive,"Defence Executive Apartments, DHA Defence Phase 2",2.0,2.0,6.8,17000000.0,2500000.0
Beautiful Owner Build House for Sale,"Tarlai, Islamabad",5.0,6.0,7.0,35000000.0,5000000.0
Pre-Owned 1 Kanal Double Gate Corner House Available For Sale In DHA DEFENCE PHASE 2,"DHA Defence Phase 2, DHA Defence",6.0,6.0,20.0,87000000.0,4350000.0
Gulberg Residencia Islamabad 7M Brand New Double Unit House Available for Sale,"Gulberg Residencia - Block L, Gulberg Residencia",3.0,3.0,7.0,35000000.0,5000000.0
Gulberg Residencia Block J 01 kanal Brand New Double Unit House Available for Sale,"Gulberg Residencia - Block J, Gulberg Residencia",5.0,6.0,20.0,130000000.0,6500000.0
Gulberg Residencia Islamabad 7m Brand New Double Unit House Available For Sale,"Gulberg Residencia - Block L, Gulberg Residencia",4.0,4.0,7.0,35000000.0,5000000.0
BEAUTIFUL LOCATION BRAND NEW HOUSE FOR SALE,"D-12, Islamabad",4.0,4.0,5.0,53500000.0,10700000.0
BEAUTIFUL LOCATION CORNER HOUSE FOR SALE,"D-12/3, D-12",3.0,3.0,4.0,45000000.0,11250000.0
BEAUTIFUL LOCATION END CORNER HOUSE FOR SALE,"D-12/3, D-12",3.0,3.0,4.0,45000000.0,11250000.0
10 Marla Brand New Sun-face House For Sale In Topcity-1 Islamabad,"Top City 1 - Block A, Top City 1",5.0,7.0,10.0,44000000.0,4400000.0
10 Marla Brand New House For Sale In Topcity-1,"Top City 1 - Block D, Top City 1",4.0,5.0,10.0,35000000.0,3500000.0
One Bedroom Apartment For Sale,"E-11/4, E-11",1.0,1.0,2.9,5200000.0,1793103.448275862
Multi gardens B17 A Block 1 Kanal House is available for sale,"MPCHS - Block A, MPCHS - Multi Gardens",6.0,7.0,20.0,90000000.0,4500000.0
Luxurious Duplex Corner Most Specious Of Contours Apartment Available,"The Centaurus, F-8",4.0,5.0,20.0,190000000.0,9500000.0
"5 MARLA LUXURY HOUSE FOR SALE IN B-17, ISLAMABAD","MPCHS - Block F, MPCHS - Multi Gardens",4.0,5.0,5.0,24000000.0,4800000.0
