Title,Price,Location,Beds,Baths,Area
Brand New Modern Design,2.7 Crore,"MPCHS - Block C1, MPCHS - Multi Gardens",4,6,5 Marla
1 Bedroom Apartment Larger Layout with Inner Parking for sale,1.2 Crore,"Cube Apartments, Bahria Enclave",1,2,4.7 Marla
1 Kanal Aesthetically Designed House For Sale In DHA I R,11 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
1 Kanal Top Notch House For Sale In DHA I_R,14 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
1 kanal Aesthetically Built House for sale in DHA I_R,11.25 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
"Emaar Canyon Views Islamabad  1 Kanal Spanish Villa, 3 Sides Open, Corner, Available For Sale In Emaar DHA 5 Sector E .",7.5 Crore,"Emaar Canyon Views, Islamabad",5,5,1 Kanal
7 Marla Brand New House For Sale,2.9 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",N/A,N/A,7 Marla
A Perfect House Awaits You In Bani Gala,4 Crore,"Bani Gala, Islamabad",5,5,10 Marla
UNBELIEVABLE PRICE 5 Marla Double Storey House For Sale!,99 Lakh,"Taramrri, Islamabad",6,4,5 Marla
Farm Houses For Sale P&V Scheme 1 (Tarlai) & Scheme 2 (Chak Shahzad),35 Crore,"Park Road, Islamabad",2,N/A,20 Kanal
5 Marla Brand New House For Sale In Multi Garden B 17 Islamabad,2.35 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",5,6,5 Marla
"14 Marla Triple Story Double Unit House for Sale in B-17 B Block Walking Distance to Markaz, Mosque & Market",7.8 Crore,"MPCHS - Block B, MPCHS - Multi Gardens",9,6,14 Marla
Sector N 8 Marla Brand New House 5 Bedroom With Attached Bathroom,3.75 Crore,"Bahria Enclave - Sector N, Bahria Enclave",5,5,8 Marla
"Prime Location And Fully Modern Style Apartment Available For Sale, F-10, Islamabad",4.42 Crore,"F-10 Markaz, F-10",1,1,3.9 Marla
2 Kanal Luxury House For Sale,12 Crore,"MPCHS - Multi Gardens, B-17",9,7,2 Kanal
One Kanal House For Sale Naval Anchorage Islamabad,5.9 Crore,"Naval Anchorage - Block F, Naval Anchorage",4,5,1 Kanal
Fully Renovated 3 Bedroom 4th Floor Apartment For Sale,3.35 Crore,"Askari Tower 2, DHA Defence Phase 2",3,3,11.8 Marla
Buying A House In I-8/4?,10.5 Crore,"I-8/4, I-8",6,6,14 Marla
3 Bed Luxury Apartment Available. For Sale in Pine Heights D-17 Islamabad.,1.5 Crore,"D-17, Islamabad",3,3,6.2 Marla
4 Bed Apartment Available For Sale In Askari Tower 3 Dha 5 Islamabad,4.55 Crore,"Askari Tower 3, DHA Defence Phase 5",4,5,14.5 Marla
"""Luxury Living: Margalla-Facing 7 Bed, 7 Bath House with Dual Gates in F-10/3""",30 Crore,"F-10/3, F-10",7,N/A,2 Kanal
"""Ultimate Luxury: Brand New Triple Story 8 Bed, 8 Bath House With Margalla Views In F-10""",55 Crore,"F-10, Islamabad",8,N/A,2 Kanal
2 Bedroom Apartment For Sale In Bahria Enclave Islamabad,1.23 Crore,"The Galleria, Bahria Enclave",2,2,6.1 Marla
"5 Marla Grey Structure House For Sale Overseas Block, Park View City Islamabad",1.4 Crore,"Park View City - Overseas Block, Park View City",3,3,5 Marla
50*90 House For Sale G13 / Islamabad,17 Crore,"G-13, Islamabad",6,6,1 Kanal
"One Bed Fully Furnished Flat For Sale Main Expressway, Ghauri Town Phase 5, Main Expressway, Islamabad",65 Lakh,"Ghauri Town Phase 5, Ghauri Town",1,1,2 Marla
Brand New House Prime location,4.95 Crore,"MPCHS - Block B Extension 1, MPCHS - Multi Gardens",6,6,10 Marla
7 Marla Like That Brand New Type Luxury Outclass Prominent House Available For Sale In G13 Islamabad With All Basic Amenities At Reasonable Demand,5.6 Crore,"G-13, Islamabad",5,6,7 Marla
Beautiful Architectural Design 1 Kanal House For Sale In Islamabad G13,17.5 Crore,"G-13/2, G-13",6,6,1 Kanal
14 Marla Brand New Prominent And Outstanding House Available For Sale In G13 Islamabad With All Basic Amenities At Reasonable Sale Demand,12 Crore,"G-13, Islamabad",7,7,14 Marla
25*40 Brand new House For sale In Prime Location G14/4 Islamabad,3.6 Crore,"G-14/4, G-14",4,6,4.4 Marla
Affordable Flat Of 880 Square Feet Is Available For sale,53 Lakh,"I-16/3, I-16",2,2,3.9 Marla
I-16/3 Flat Sized 880 Square Feet,60 Lakh,"I-16/3, I-16",2,2,3.9 Marla
Get A Corner 880 Square Feet Flat For sale In I-16/3,51 Lakh,"I-16/3, I-16",2,2,3.9 Marla
Book A 880 Square Feet Flat In I-16/3,47 Lakh,"I-16/3, I-16",2,2,3.9 Marla
Brand New Designer Corner Double Story House Is Available For Sale In D-12/1 Islamabad,15.4 Crore,"D-12, Islamabad",5,6,14 Marla
7 Marla House For Sale In Faisal Margalla City Islamabad,3.6 Crore,"Faisal Margalla City, B-17",5,5,8 Marla
Kanal House For Sale In C Block At Very Investor Rate 10 Kv Solar System Installed,6.9 Crore,"MPCHS - Multi Gardens, B-17",6,6,1 Kanal
I-8/2 40X80 Double Storey House For Sale In Plot Price,11.8 Crore,"I-8/2, I-8",6,6,14 Marla
Cda Sector D-12/4(35*70)=10-Marla Brand New House For Sale On 70ft Wide Road.,14 Crore,"D-12/4, D-12",5,6,10 Marla
3 Bed Apartment For Sale In Askari Tower 3 DHA 5 Islamabad,3.55 Crore,"Askari Tower 3, DHA Defence Phase 5",3,3,11.9 Marla
5 MARLA HOUSE SECTOR J,3.85 Crore,"DHA Phase 2 - Sector J, DHA Defence Phase 2",5,4,6 Marla
Top City Corner House Of Sale,5.9 Crore,"Top City 1 - Block A, Top City 1",5,7,13 Marla
2nd Floor Corner Two Bedroom Apartment In Diamond Mall & Residency On Sale,1.45 Crore,"Gulberg Greens, Gulberg",2,3,3.9 Marla
ONE KANAL BRAND NEW LUXURIOUS HOUSE FOR SALE IN DHA PHASE 2 ISLAMABAD,10 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
"Prime Location 6 Bed, 6 Bath House for Sale in F-10, Islamabad - 555 Sqy, 50x100",20 Crore,"F-10, Islamabad",6,6,1.1 Kanal
"Prime Investment Opportunity: Demolished House In F-10, CDA Transfer, 1200 Sq Yard",34 Crore,"F-10, Islamabad",8,N/A,2.4 Kanal
Brand New House Double Heighted,2.2 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",3,4,5 Marla
1900 Sqft 3 Bedroom Available For Sale In Capital Residencia E11,2.6 Crore,"Capital Residencia, Margalla Hills-2",3,3,8.4 Marla
Modern Straight Line Double Heighted Lounge Designer House For Sale,14.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
One Bed Apartment Available For Sale 1st Floor Society Transfer C Block,48 Lakh,"MPCHS - Multi Gardens, B-17",1,1,2 Marla
NEAR GATE NO 2 sale A House In Islamabad Prime Location,9.5 Crore,"DHA Phase 2 - Sector A, DHA Defence Phase 2",5,5,1 Kanal
Brand New 03 Bed 1st Floor Askari Apartment For Sale,2.98 Crore,"DHA Defence Phase 5, DHA Defence",3,4,11.6 Marla
Flat Of 880 Square Feet Is Available For sale,56 Lakh,"I-16/3, I-16",2,2,3.9 Marla
880 Square Feet Flat In Islamabad Is Available For sale,55 Lakh,"I-16/3, I-16",2,2,3.9 Marla
"Corner 880 Square Feet Flat available for sale in I-16/3, Islamabad",58 Lakh,"I-16/3, I-16",2,2,3.9 Marla
4 Marla Brand New Luxury Prominent House For Sale In G13 Islamabad With All Basic Facilities With Reasonable Demand,3.5 Crore,"G-13, Islamabad",4,4,4 Marla
Brand New House Available For Sale In F7,48 Crore,"F-7, Islamabad",6,6,1.3 Kanal
Beautiful House For Sale With Extra Land,16 Crore,"F-10, Islamabad",5,5,1 Kanal
Triple Story House House Available For Sale,16 Crore,"F-10, Islamabad",7,7,1.1 Kanal
LUXURY APARTMENT FOR SALE,1.2 Crore,"Grand Orchard, DHA Defence Phase 1",1,1,2.5 Marla
LUXURY STUDIO FOR SALE,90.64 Lakh,"DHA Defence Phase 1, DHA Defence",N/A,1,1.8 Marla
In E-11/2 House For Sale Sized 1 Kanal,16.5 Crore,"E-11/2, E-11",N/A,N/A,1 Kanal
Park Facing 25x50 Double Storey House For Sale in D-12/1,5.5 Crore,"D-12/1, D-12",5,5,5 Marla
8 Marla Brand New Luxury House For Sale In Multi Garden B 17 Islamabad Block C,4.25 Crore,"MPCHS - Block C, MPCHS - Multi Gardens",5,6,8 Marla
Beautiful House For Sale,18.5 Crore,"F-11/1, F-11",4,4,1.3 Kanal
60x100 Brand New Double Story House For Sale G-14/4,20 Crore,"G-14/4, G-14",6,6,1.2 Kanal
"1 Kanal Luxury House for Sale in DHA Phase 2, Islamabad 5 Bedrooms",13.8 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Corner House For Sale G-9/3 Nearby Apne Sena Road 50 Ft Street,6 Crore,"G-9/3, G-9",4,4,6 Marla
Dha 5 Emar Sector E Reasonable House For sale,4.5 Crore,"DHA Defence Phase 5, DHA Defence",5,6,10 Marla
"Prime Location 6 Bed, 6 Bath House for Sale in F-10, Islamabad - 555 Sqy, 50x100",19 Crore,"F-10, Islamabad",6,6,1.1 Kanal
"Luxurious 8-Bedroom House for Sale in F-10: CDA Transfer, Sun-Facing, Dead-End Street",35 Crore,"F-10, Islamabad",8,N/A,2 Kanal
Luxury Apartment 1 Bed 2 Washrooms,6 Crore,"The Centaurus, F-8",1,2,4.5 Marla
Gulberg Greens Luxury 5 Kanal Brand New Farmhouse,35 Crore,"Gulberg Residencia - Block A, Gulberg Residencia",8,6,5 Kanal
10 Marla House Available For Sale,4.1 Crore,"Bahria Enclave - Sector A, Bahria Enclave",4,5,10 Marla
G-11 Markaz 11 Central Brand New 2 Bed Fully Furnished Apartment Available For Sale,3.85 Crore,"11 Central Apartments, G-11/1",2,2,6.2 Marla
11 Marla Brand New House For Sale In Banigala Very Easy Access,4.85 Crore,"Bani Gala, Islamabad",5,5,11 Marla
Prime Location | 5 marla Designer Build Near Main Boulevard and park Sector H,2.35 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,4,5 Marla
I-12/1 Ground Floor Corner D-Type ADC Flat,80 Lakh,"I-12/1, I-12",2,2,3.9 Marla
Lake Facing One Bed Apartment Available For Sale In Park View City Islamabad,1.8 Crore,"Park View City - Downtown Block, Park View City",1,1,2.6 Marla
I-12/1 D-Type 2nd Floor Flat All Dues Clear,65 Lakh,"I-12/1, I-12",2,2,3.9 Marla
I-12/1 Corner + Nust Face 2nd Floor ADC Flat,65 Lakh,"I-12/1, I-12",2,2,3.2 Marla
I-12/1 Corner 1st Floor E-Type PHA Flat ADC,60 Lakh,"I-12/1, I-12",2,2,3.2 Marla
I-12/1 Corner 7th Floor D-Type Flat ADC,55 Lakh,"I-12/1, I-12",2,2,3.9 Marla
I-12/1 3rd Floor D Type All Dues Clear Flat For Sale,65 Lakh,"I-12/1, I-12",2,2,3.9 Marla
Double Story House On Main Double Road Is Available For Sale,2.95 Crore,"I-11/2, I-11",5,5,4 Marla
Da Manara 356 Square Feet Spacious Flat Is Available In Top City 1 - Block I For sale,36 Lakh,"Top City 1 - Block I, Top City 1",N/A,1,1.6 Marla
790 Square Feet 2 Bed Apartment Is Available On Easy Installments Plan,80 Lakh,"Top City 1 - Block I, Top City 1",2,2,3.5 Marla
Da Manara 509 Square Feet One Bed Apartment Available On Installments,52 Lakh,"Top City 1 - Block I, Top City 1",1,1,2.3 Marla
Signature Properties Offer Most Luxuries 2 Bed Apartment For Sale Near GIGA Mall DHA Phase-II Islamabad,73 Lakh,"Defence Residency, DHA Defence Phase 2",2,2,3.6 Marla
ONE BED LUXURY APARTMENT AVAILABLE FOR SALE IN GULBERG GREEN ISLAMABAD,1.08 Crore,"Gulberg Heights, Gulberg Greens",1,1,3.1 Marla
3bed Fully Renovated And Fully Furnished Apartment Available For Sale In F11,5.6 Crore,"F-11, Islamabad",3,3,12.4 Marla
Brand New Kanal House For Sale,8 Crore,"Naval Anchorage, Islamabad",6,6,1 Kanal
7 Marla House For Sale In Gulberg,4 Crore,"Gulberg Residencia - Block F, Gulberg Residencia",5,5,7 Marla
30*50 cda transfer brand new wide street house available in g-9/4 near park,7.4 Crore,"G-9/4, G-9",5,6,6.7 Marla
"Triple Storey House, Fully Renovated Prime Location",23 Crore,"F-10, Islamabad",8,N/A,1.1 Kanal
Triple Storey Brand New House Available For Sale In F10,35 Crore,"F-10, Islamabad",5,5,1.1 Kanal
Luxury N Beautiful New House For Sale,5.5 Crore,"Park View - Block H, Park View City",6,6,10 Marla
5 Marla Beautiful House Available In Park View City H Block Islamabad,2.5 Crore,"Park View City, Islamabad",4,5,5 Marla
Buy 1497 Square Feet Flat At Highly Affordable Price,7.9 Crore,"Elysium Mall, Blue Area",2,N/A,6.7 Marla
FULLY FURNISHED 3 BEDROOM APARTMENT FOR SALE,2.35 Crore,"Capital Residencia, Margalla Hills-2",3,3,9.3 Marla
Brand New Three Bed Room Luxury Apartment @ Most Reasonable Price in DHA Phase 2 Islamabad,1.55 Crore,"Defence Residency, DHA Defence Phase 2",3,3,5.1 Marla
5 Marla House Available For Sale In Bahria Enclave Islamabad,2.2 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3,3,5 Marla
Kanal Brand New House Available For Sale In Dha Phase 2 Islamabad,10.85 Crore,"DHA Phase 2 - Sector B, DHA Defence Phase 2",6,6,1 Kanal
Kanal Brand New House Available For Sale In Dha Phase 2 Islamabad,10.5 Crore,"DHA Phase 2 - Sector D, DHA Defence Phase 2",6,6,1 Kanal
2 Kanal Triple Storey Fully Furnished House For Sale In Dha Phase 2 Islamabad,16.5 Crore,"DHA Phase 2 - Sector J, DHA Defence Phase 2",9,6,2 Kanal
5 Kanal Royal Palace For Sale In Gulberg Green Islamabad,40 Crore,"Gulberg Greens, Gulberg",6,6,5 Kanal
Bahria Enclave Islamabad Sector C1 10 Marla 5bedrooms Brand New House Available For Sale,5.5 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,5,10 Marla
500 Square Yard Livable House Beautiful Location,28 Crore,"F-7, Islamabad",5,5,1 Kanal
533 Square Yard Six Bedrooms Livable House For Sale,28 Crore,"F-7, Islamabad",6,6,1.1 Kanal
